id,Calories from animal protein (FAO (2017)),Calories from plant protein (FAO (2017)),Calories from fat (FAO (2017)),Calories from carbohydrates (FAO (2017)),calories total,Year,Country_id
1,54.12,285.52,337.59,2321.77,2999,1961,1
2,53.92,278,338.49,2246.59,2917,1962,1
3,56.8,251.68,347.13,2042.39,2698,1963,1
4,57.32,276.64,350.55,2268.49,2953,1964,1
5,59.76,275.68,357.57,2262.99,2956,1965,1
6,64.44,252.24,359.55,2060.77,2737,1966,1
7,67.08,273.92,376.65,2253.35,2971,1967,1
8,69.88,266.52,377.91,2203.69,2918,1968,1
9,68.76,270.6,373.5,2222.14,2935,1969,1
10,61.16,230.12,341.28,1901.44,2534,1970,1
11,57.24,233.56,316.62,1904.58,2512,1971,1
12,52.84,250.16,311.76,2043.24,2658,1972,1
13,55.84,253.68,334.8,2076.68,2721,1973,1
14,56.56,251.4,349.29,2055.75,2713,1974,1
15,57.04,254.12,359.55,2081.29,2752,1975,1
16,60.12,258.8,377.55,2127.53,2824,1976,1
17,58,226.52,345.6,1858.88,2489,1977,1
18,58.4,240.24,346.68,1975.68,2621,1978,1
19,58.6,237.8,360.09,1964.51,2621,1979,1
20,60.36,222.32,360.45,1834.87,2478,1980,1
21,63.36,220.52,388.53,1811.59,2484,1981,1
22,65.16,217.16,407.16,1790.52,2480,1982,1
23,67.08,218.6,416.25,1822.07,2524,1983,1
24,66.4,211.56,412.47,1761.57,2452,1984,1
25,59.76,208.52,412.83,1721.89,2403,1985,1
26,51.4,208.08,423.27,1714.25,2397,1986,1
27,56.2,249.44,372.69,2048.67,2727,1987,1
28,58.64,223.08,388.89,1847.39,2518,1988,1
29,59.84,211.76,460.08,1730.32,2462,1989,1
30,67.8,197.08,435.6,1613.52,2314,1990,1
31,64.96,173.68,370.08,1435.28,2044,1991,1
32,59.76,159.12,342.99,1329.13,1891,1992,1
33,58.44,168.88,297.72,1384.96,1910,1993,1
34,60.04,159.32,286.92,1313.72,1820,1994,1
35,60.64,151.2,365.94,1266.22,1844,1995,1
36,64.04,152.96,349.74,1276.26,1843,1996,1
37,67.88,159.4,308.16,1338.56,1874,1997,1
38,70.84,160.28,320.13,1351.75,1903,1998,1
39,72.56,151.92,342.18,1285.34,1852,1999,1
40,59.2,151.08,289.26,1290.46,1790,2000,1
41,44.28,154.4,242.64,1295.68,1737,2001,1
42,57.04,156.36,269.55,1343.05,1826,2002,1
43,52.88,165.28,269.91,1403.93,1892,2003,1
