Prevalence of obesity (both sexes) - WHO (2019),undernourishment,gdp,Year,Country_id,Disease_id
0.5,0,0,1975,1,1
0.5,0,0,1976,1,2
0.6,0,0,1977,1,3
0.6,0,0,1978,1,4
0.6,0,0,1979,1,5
0.7,0,0,1980,1,6
0.7,0,0,1981,1,7
0.8,0,0,1982,1,8
0.8,0,0,1983,1,9
0.9,0,0,1984,1,10
1,0,0,1985,1,11
1,0,0,1986,1,12
1.1,0,0,1987,1,13
1.2,0,0,1988,1,14
1.2,0,0,1989,1,15
1.3,0,0,1990,1,16
1.4,0,0,1991,1,17
1.5,0,0,1992,1,18
1.5,0,0,1993,1,19
1.6,0,0,1994,1,20
1.7,0,0,1995,1,21
1.8,0,0,1996,1,22
1.9,0,0,1997,1,23
2.1,0,0,1998,1,24
2.2,0,0,1999,1,25
2.3,0,0,2000,1,26
2.4,47.8,0,2001,1,27
2.6,45.7,1063.635574,2002,1,28
2.7,40.7,1099.194507,2003,1,29
2.9,38.1,1062.24936,2004,1,30
3,36.2,1136.123214,2005,1,31
3.2,33.5,1161.124889,2006,1,32
3.4,30,1284.775213,2007,1,33
3.6,26.4,1298.143159,2008,1,34
3.8,24.9,1531.173993,2009,1,35
4,24.1,1614.255001,2010,1,36
4.2,25,1660.739856,2011,1,37
4.4,27.2,1839.273579,2012,1,38
4.7,26.5,1848.700026,2013,1,39
4.9,26.4,1838.960244,2014,1,40
5.2,25.8,1809.016488,2015,1,41
5.5,27.5,1802.695565,2016,1,42
2,0,0,1975,2,43
2.1,0,0,1976,2,44
2.2,0,0,1977,2,45
2.3,0,0,1978,2,46
2.3,0,0,1979,2,47
2.5,0,0,1980,2,48
2.6,0,0,1981,2,49
2.7,0,0,1982,2,50
2.8,0,0,1983,2,51
2.9,0,0,1984,2,52
3.1,0,0,1985,2,53
3.2,0,0,1986,2,54
3.4,0,0,1987,2,55
3.5,0,0,1988,2,56
3.7,0,0,1989,2,57
3.9,0,0,1990,2,58
4,0,0,1991,2,59
4.2,0,0,1992,2,60
4.4,0,0,1993,2,61
4.6,0,0,1994,2,62
4.8,0,0,1995,2,63
5.1,0,0,1996,2,64
5.3,0,0,1997,2,65
5.5,0,0,1998,2,66
5.8,0,0,1999,2,67
6,0,0,2000,2,68
6.2,23.8,0,2001,2,69
6.5,23.4,0,2002,2,70
6.7,23.2,0,2003,2,71
7,22.4,0,2004,2,72
7.3,21.4,0,2005,2,73
7.6,20.6,0,2006,2,74
7.8,20.1,0,2007,2,75
8.1,19.7,0,2008,2,76
8.4,19.3,0,2009,2,77
8.7,18.8,0,2010,2,78
9,18.4,0,2011,2,79
9.3,18.1,0,2012,2,80
9.6,17.9,0,2013,2,81
9.9,18,0,2014,2,82
10.3,18.2,0,2015,2,83
10.6,18.5,0,2016,2,84
6.5,0,0,1975,3,85
6.7,0,0,1976,3,86
6.8,0,0,1977,3,87
7,0,0,1978,3,88
7.2,0,0,1979,3,89
7.4,0,0,1980,3,90
7.6,0,0,1981,3,91
7.8,0,0,1982,3,92
8,0,0,1983,3,93
8.3,0,0,1984,3,94
8.5,0,0,1985,3,95
8.7,0,0,1986,3,96
9,0,0,1987,3,97
9.3,0,0,1988,3,98
9.5,0,0,1989,3,99
9.8,0,4722.838166,1990,3,100
10.1,0,3345.504049,1991,3,101
10.4,0,3123.512503,1992,3,102
10.7,0,3444.321792,1993,3,103
11,0,3753.169904,1994,3,104
11.3,0,4278.689663,1995,3,105
11.7,0,4697.153233,1996,3,106
12,0,4214.358153,1997,3,107
12.4,0,4623.026401,1998,3,108
12.8,0,5280.527867,1999,3,109
13.2,0,5668.574777,2000,3,110
13.6,5,6176.370678,2001,3,111
